record_id,fecha_de_inicio,fecha_de_fin,fecha_del_registro,nombre_de_la_actividad,tipo_de_actividad,qu_tem_tica_s_aborda_la_ac,en_qu_estrategia_plan_inte,asist_total,asist_hombres,asist_mujeres,n_mero_de_horas,n_mero_de_sesiones,apellidos_y_nombre,distrito0,unidad_asistencial,unidad_asistencial_2,sexo,categor_a_profesional,especialidad_de_enfermer_a,horario,localidad_donde_se_realiza,es_una_zona_desfavorecidas,lugar_de_realizaci_n_de_la,poblaci_n_destinataria
1,03/06/2024,01/07/2024,04/06/2024,Rehabilitación respiratoria,10,21,22,13,9,4,8.0,5,"Cortés Torres, Sara",0,0,,F,5,,1,Albayzín,0,3,2
2,22/03/2025,29/03/2025,25/03/2025,Sesión formativa: dolor crónico,22,8,23,20,7,13,3.2,2,"Jiménez Castro, Laura",0,0,,F,5,,0,Albayzín,0,13,2
3,22/05/2025,05/06/2025,23/05/2025,Sesión formativa: higiene postural,22,12,5,13,5,8,5.1,3,"Díaz Castro, Lucía",0,0,,F,5,,1,Albayzín,0,2,7
4,10/10/2025,14/11/2025,11/10/2025,Taller de primeros auxilios,23,22,2,27,11,16,17.4,6,"Cortés Torres, Sara",0,0,,F,5,,0,Albayzín,0,8,4
5,08/05/2024,12/06/2024,12/05/2024,Programa educación maternal,11,3,17,13,2,11,10.2,6,"Vargas Ruiz, Irene",0,0,,F,7,,2,Albayzín,0,12,0
6,30/01/2024,13/02/2024,30/01/2024,Sesión formativa: voluntades vitales,22,29,6,5,3,2,5.1,3,"Suárez Cruz, Miguel",0,0,,M,6,,2,Albayzín,0,13,6
7,09/04/2025,09/04/2025,14/04/2025,Charla sobre consumo alcohol,0,6,15,30,14,16,0.8,1,"Suárez Cruz, Miguel",0,0,,M,6,,0,Albayzín,0,6,14
8,31/12/2024,14/01/2025,31/12/2024,Taller de parentalidad positiva,23,20,7,16,5,11,6.0,3,"Vargas Ruiz, Irene",0,0,,F,7,,0,Albayzín,0,5,0
9,21/07/2025,20/10/2025,21/07/2025,Grupo diabetológico,7,29,14,14,5,9,35.0,14,"Ramos Delgado, Patricia",0,0,,F,2,3,1,Albayzín,0,5,0
10,20/04/2024,01/06/2024,23/04/2024,Taller de prev. accidentes,23,21,9,17,6,11,18.2,7,"Cortés Aguilar, Miguel",0,0,,M,5,,0,Albayzín,0,14,4
11,20/03/2025,10/04/2025,24/03/2025,Taller de lactancia materna,23,15,10,21,5,16,8.8,4,"Ortiz Suárez, Carmen",0,0,,F,2,7,1,Albayzín,0,2,1
12,07/04/2024,09/06/2024,10/04/2024,Grupo cuidadoras,5,6,12,13,5,8,21.0,10,"Ramos Delgado, Patricia",0,0,,F,2,3,0,Albayzín,1,12,8
13,04/09/2025,27/11/2025,06/09/2025,Grupo EPOC/asma,8,12,18,11,4,7,20.8,13,"Jiménez Castro, Laura",0,0,,F,5,,1,Albayzín,0,8,5
14,01/04/2025,29/04/2025,02/04/2025,Grupo diabetológico,7,1,17,25,9,16,8.5,5,"Ramos Delgado, Patricia",0,0,,F,2,3,2,Albayzín,0,14,7
15,15/10/2024,22/10/2024,19/10/2024,Sesión formativa: higiene postural,22,12,19,8,3,5,2.8,2,"Cortés Aguilar, Miguel",0,0,,M,5,,0,Albayzín,0,3,11
16,17/07/2024,17/07/2024,21/07/2024,Charla sobre incontinencia,0,13,19,53,16,37,1.0,1,"Jiménez Castro, Laura",0,0,,F,5,,0,Albayzín,0,4,12
17,04/07/2025,19/09/2025,05/07/2025,Programa educación maternal,11,15,14,18,3,15,19.2,12,"Vargas Ruiz, Irene",0,0,,F,7,,0,Albayzín,0,8,7
18,06/05/2025,27/05/2025,06/05/2025,Mapeo de activos: consumo alcohol,18,6,8,16,3,13,6.8,4,"González Molina, Elena",0,0,,F,13,,2,Albayzín,0,10,12
19,18/03/2024,18/03/2024,20/03/2024,Charla sobre parentalidad positiva,0,20,4,30,14,16,1.1,1,"Montero Lara, Lucía",0,0,,F,13,,0,Albayzín,0,12,8
20,07/05/2024,18/06/2024,09/05/2024,Programa educación maternal,11,27,6,16,3,13,15.4,7,"Vargas Vega, Carlos",0,0,,M,7,,0,Albayzín,0,11,12
21,29/01/2025,05/02/2025,30/01/2025,Reunión coordinación — consumo alcohol,3,6,8,4,1,3,2.4,2,"Ramos Delgado, Patricia",0,0,,F,2,3,1,Albayzín,0,6,10
22,22/05/2024,22/05/2024,23/05/2024,Mesa informativa: bienestar emocional,19,4,25,48,22,26,0.9,1,"Vargas Vega, Carlos",0,0,,M,7,,2,Albayzín,0,12,8
23,13/05/2024,20/05/2024,14/05/2024,Sesión clínica: dolor crónico,21,8,23,11,6,5,3.4,2,"Jiménez Castro, Laura",0,0,,F,5,,1,Albayzín,0,0,3
24,25/10/2024,08/11/2024,30/10/2024,Taller de act. física,23,1,16,21,8,13,5.7,3,"Romero Torres, Sergio",0,0,,M,7,,2,Albayzín,0,7,1
25,07/01/2025,08/04/2025,07/01/2025,Grupo cuidadoras,5,20,13,19,7,12,33.6,14,"Vargas Vega, Carlos",0,0,,M,7,,2,Albayzín,0,11,8
26,09/03/2025,04/05/2025,14/03/2025,Rehabilitación cardiaca,9,13,15,12,6,6,18.9,9,"Jiménez Castro, Laura",0,0,,F,5,,2,Albayzín,1,1,2
27,09/11/2025,31/12/2025,13/11/2025,IAHS,14,9,7,15,5,10,24.0,12,"Vargas Vega, Carlos",0,0,,M,7,,2,Albayzín,0,4,15
28,12/11/2024,11/02/2025,14/11/2024,Grupo dolor crónico,6,22,7,23,7,16,30.8,14,"Díaz Castro, Lucía",0,0,,F,5,,1,Albayzín,0,5,1
29,19/11/2024,03/12/2024,20/11/2024,Reunión coordinación — higiene manos,3,11,12,7,4,3,3.6,3,"Ortiz Suárez, Carmen",0,0,,F,2,7,0,Albayzín,0,14,9
30,06/02/2025,13/03/2025,07/02/2025,Programa educación maternal,11,29,2,23,2,21,9.6,6,"Ramos Delgado, Patricia",0,0,,F,2,3,2,Albayzín,1,2,4
31,17/09/2025,31/12/2025,17/09/2025,Grupo dolor crónico,6,13,12,15,8,7,30.4,16,"Cortés Torres, Sara",0,0,,F,5,,2,Albayzín,0,10,13
32,09/02/2025,09/03/2025,14/02/2025,GRUSE,13,28,5,21,8,13,10.0,5,"Montero Lara, Lucía",0,0,,F,13,,0,Albayzín,0,14,1
33,02/07/2025,20/08/2025,02/07/2025,IAHS,14,4,3,11,5,6,19.2,8,"Vargas Ruiz, Irene",0,0,,F,7,,1,Albayzín,0,14,15
34,20/09/2024,11/10/2024,20/09/2024,Ponencia: tabaco,20,7,21,68,25,43,9.6,4,"Suárez Cruz, Miguel",0,0,,M,6,,0,Albayzín,0,13,13
35,08/12/2024,29/12/2024,09/12/2024,PIOBIN,15,7,7,16,8,8,9.2,4,"Ortiz Suárez, Carmen",0,0,,F,2,7,0,Albayzín,0,14,8
36,14/01/2025,04/03/2025,14/01/2025,Grupo cuidadoras,5,7,2,19,10,9,19.2,8,"Ramos Delgado, Patricia",0,0,,F,2,3,1,Albayzín,0,4,0
37,23/11/2025,31/12/2025,25/11/2025,PIOBIN,15,29,25,15,4,11,22.8,12,"Ramos Delgado, Patricia",0,0,,F,2,3,1,Albayzín,0,8,0
38,05/05/2024,12/05/2024,10/05/2024,Taller de IRAS,23,14,15,20,11,9,3.4,2,"González Molina, Elena",0,0,,F,13,,0,Albayzín,0,3,0
39,22/02/2025,03/05/2025,26/02/2025,Grupo cuidadoras,5,8,21,14,7,7,18.7,11,"Ramos Delgado, Patricia",0,0,,F,2,3,0,Albayzín,0,12,13
40,26/05/2024,02/06/2024,31/05/2024,Sesión formativa: parentalidad positiva,22,20,17,25,7,18,3.6,2,"Ramos Delgado, Patricia",0,0,,F,2,3,0,Albayzín,0,2,15
41,12/02/2025,16/04/2025,13/02/2025,IAHS,14,7,9,15,5,10,22.0,10,"Torres Hidalgo, Raquel",0,0,,F,2,2,1,Albayzín,0,6,14
42,13/11/2025,20/11/2025,15/11/2025,Sesión formativa: tabaco,22,7,18,15,8,7,3.2,2,"Suárez Cruz, Miguel",0,0,,M,6,,1,Albayzín,0,1,6
43,31/07/2025,31/07/2025,05/08/2025,Sesión formativa: tabaco,22,7,15,17,7,10,1.6,1,"Ortiz Suárez, Carmen",0,0,,F,2,7,1,Albayzín,0,14,15
44,27/02/2025,13/03/2025,02/03/2025,Taller de prev. accidentes,23,21,17,17,6,11,8.4,3,"Cortés Torres, Sara",0,0,,F,5,,2,Albayzín,1,8,11
45,29/11/2025,31/12/2025,04/12/2025,Grupo EPOC/asma,8,8,23,15,5,10,23.4,13,"Torres Hidalgo, Raquel",0,0,,F,2,2,1,Albayzín,0,5,2
46,24/03/2025,31/03/2025,24/03/2025,Mapeo de activos: IRAS,18,14,1,18,6,12,3.4,2,"González Molina, Elena",0,0,,F,13,,0,Albayzín,0,7,13
47,07/07/2025,14/07/2025,11/07/2025,Sesión formativa: prev. accidentes,22,21,24,9,4,5,3.6,2,"Díaz Castro, Lucía",0,0,,F,5,,0,Albayzín,0,9,15
48,02/07/2025,30/07/2025,07/07/2025,Programa educación maternal,11,20,6,12,0,12,9.0,5,"Vargas Vega, Carlos",0,0,,M,7,,1,Albayzín,0,10,10
49,14/02/2024,21/02/2024,16/02/2024,Sesión formativa: manejo enf. crónicas,22,16,8,21,6,15,3.0,2,"González Molina, Elena",0,0,,F,13,,0,Albayzín,1,10,6
50,10/07/2024,10/07/2024,10/07/2024,Sesión clínica: alimentación saludable,21,3,19,7,2,5,1.6,1,"Vargas Ruiz, Irene",0,0,,F,7,,1,Albayzín,0,0,3
51,08/11/2024,24/01/2025,10/11/2024,Rehabilitación respiratoria,10,21,20,23,15,8,24.0,12,"Cortés Aguilar, Miguel",0,0,,M,5,,1,Albayzín,0,12,8
52,08/07/2025,21/10/2025,11/07/2025,Grupo cuidadoras,5,29,23,18,7,11,30.4,16,"Torres Hidalgo, Raquel",0,0,,F,2,2,0,Albayzín,0,1,9
53,24/06/2025,24/06/2025,27/06/2025,Charla sobre parentalidad positiva,0,20,22,24,8,16,1.5,1,"Montero Lara, Lucía",0,0,,F,13,,0,Albayzín,0,13,11
54,27/01/2024,27/04/2024,27/01/2024,Grupo diabetológico,7,7,13,13,6,7,30.8,14,"Ramos Delgado, Patricia",0,0,,F,2,3,2,Albayzín,0,9,7
55,10/08/2024,10/08/2024,13/08/2024,Mesa informativa: lactancia materna,19,15,7,51,27,24,0.6,1,"González Molina, Elena",0,0,,F,13,,2,Albayzín,0,12,6
56,12/06/2025,26/06/2025,13/06/2025,Sesión clínica: prev. accidentes,21,21,3,13,4,9,3.6,3,"Vargas Vega, Carlos",0,0,,M,7,,2,Albayzín,0,8,11
57,23/03/2024,06/04/2024,28/03/2024,Sesión formativa: alimentación saludable,22,3,15,18,7,11,4.2,3,"Torres Hidalgo, Raquel",0,0,,F,2,2,2,Albayzín,0,9,8
58,14/11/2025,31/12/2025,17/11/2025,PSIA,17,7,22,11,1,10,33.6,16,"Ramos Delgado, Patricia",0,0,,F,2,3,0,Albayzín,0,0,12
