record_id,fecha_de_inicio,fecha_de_fin,fecha_del_registro,nombre_de_la_actividad,tipo_de_actividad,qu_tem_tica_s_aborda_la_ac,en_qu_estrategia_plan_inte,asist_total,asist_hombres,asist_mujeres,n_mero_de_horas,n_mero_de_sesiones,apellidos_y_nombre,distrito0,unidad_asistencial,unidad_asistencial_2,sexo,categor_a_profesional,especialidad_de_enfermer_a,horario,localidad_donde_se_realiza,es_una_zona_desfavorecidas,lugar_de_realizaci_n_de_la,poblaci_n_destinataria,observaciones_sobre_la_act
1,15/01/2025,15/01/2025,15/01/2025,Detección violencia de género,17,14,20,15,3,12,1.0,3,"Suárez Duarte, Blanca",0,10,,1,13,,2,Granada,0,0,0,
2,15/10/2024,15/10/2024,15/10/2024,Jornada salud comunitaria barrio,3,1,21,26,13,13,1.7,3,"Suárez Luque, Araceli",1,,12,1,6,,0,Municipio Metro,0,1,3,
3,28/08/2025,28/08/2025,28/08/2025,Rehabilitación cardiaca grupal,23,17,2,8,3,5,3.5,1,"Montilla Pardo, Álvaro",0,7,,1,2,3,2,Granada,0,3,9,
4,22/05/2024,22/05/2024,22/05/2024,Sesión IAHS,23,21,7,20,8,12,3.1,2,"Escribano Quintero, Sara",0,0,,1,6,,2,Granada,0,8,10,
5,14/11/2025,14/11/2025,14/11/2025,Taller GRUSE,22,25,5,12,5,7,1.3,2,"López Rueda, Pablo",0,12,,1,2,,0,Granada,0,4,6,
6,21/11/2024,21/11/2024,21/11/2024,Taller lactancia materna,5,10,10,12,3,9,0.7,4,"Cortés Lozano, Ana",1,,2,1,2,,2,Municipio Metro,0,8,6,
7,07/04/2025,07/04/2025,07/04/2025,Sesión coordinación servicios sociales,17,14,14,4,1,3,3.9,1,"Carmona Sánchez, Álvaro",0,14,,1,13,,0,Granada,0,4,12,
8,18/03/2025,18/03/2025,18/03/2025,Charla vacunas adultos,14,7,19,27,12,15,3.3,4,"Rubio Moya, Roberto",0,8,,1,6,,2,Granada,0,2,0,
9,18/09/2024,18/09/2024,18/09/2024,Sesión coordinación servicios sociales,22,20,20,6,2,4,1.8,2,"Soler Lara, Macarena",1,,9,1,13,,2,Municipio Metro,0,7,5,
10,26/12/2025,26/12/2025,26/12/2025,Taller GRUSE,5,25,10,7,1,6,4.0,1,"Ríos Montilla, Patricia",1,,15,1,2,1,0,Municipio Metro,1,2,0,
11,02/12/2024,02/12/2024,02/12/2024,Taller salud laboral,17,24,17,8,3,5,1.9,1,"Montoya Vergara, Cristina",1,,15,0,6,,2,Municipio Metro,0,2,3,
12,17/04/2024,17/04/2024,17/04/2024,Taller GRUSE cuidadoras,23,15,16,16,6,10,1.9,3,"Cabello Millán, Esperanza",1,,8,1,2,,2,Municipio Metro,0,1,1,
13,13/03/2024,13/03/2024,13/03/2024,Sesión menopausia,23,10,2,5,2,3,2.2,4,"Giménez Urbano, Sonia",1,,20,1,2,,0,Municipio Metro,0,9,15,
14,02/09/2024,02/09/2024,02/09/2024,Intervención social RELAS,17,14,14,10,5,5,3.8,3,"Chacón Navarrete, Óscar",1,,17,1,13,,2,Municipio Metro,0,1,9,
15,19/06/2024,19/06/2024,19/06/2024,Taller activos salud mental,18,2,25,17,4,13,1.0,1,"Montilla Navajas, Raquel",1,,17,1,9,,0,Municipio Metro,0,9,12,
